ALTURA GPSALT LAT LONG Line MAGIGRF X Y
116.89 865.61 -16.156159 -51.272816 22640 46.632 8213765.74 470833.61
119.48 858.87 -16.157072 -51.272818 22640 32.423 8213664.65 470833.45
119.64 847.66 -16.15802 -51.272829 22640 21.874 8213559.87 470832.4
116.74 835.23 -16.158992 -51.272871 22640 25.261 8213452.32 470828.09
108.81 821.75 -16.159995 -51.272938 22640 35.592 8213341.38 470821.11
111.56 809.08 -16.16102 -51.273024 22640 40.537 8213227.99 470812.05
130.15 798.1 -16.162075 -51.273129 22640 52.386 8213111.21 470800.93
154.53 788.99 -16.163147 -51.273238 22640 76.252 8212992.59 470789.5
161.56 782.28 -16.164236 -51.273352 22640 89.762 8212872.13 470777.49
176.63 776.58 -16.165336 -51.273474 22640 108.727 8212750.43 470764.58
181.66 771.73 -16.166445 -51.273585 22640 153.593 8212627.81 470752.87
154.84 769.97 -16.167558 -51.273677 22640 194.029 8212504.58 470743.23
132.59 773.26 -16.168661 -51.27376 22640 205.787 8212382.59 470734.49
120.7 780.13 -16.169753 -51.273829 22640 177.977 8212261.82 470727.22
124.05 788.3 -16.170825 -51.273871 22640 137.898 8212143.21 470722.93
131.37 796.62 -16.171883 -51.273896 22640 109.053 8212026.13 470720.41
136.24 806.37 -16.172917 -51.273899 22640 90.906 8211911.83 470720.27
112.47 816.99 -16.173933 -51.273899 22640 69.982 8211799.37 470720.42
128.32 825.45 -16.174928 -51.273879 22640 48.771 8211689.37 470722.64
152.7 831.16 -16.175914 -51.273843 22640 44.098 8211580.29 470726.65
154.99 832.73 -16.176892 -51.273782 22640 24.811 8211472.14 470733.32
162.55 828.92 -16.17787 -51.273702 22640 16.897 8211364.0 470742.08
183.64 820.67 -16.178861 -51.273613 22640 32.927 8211254.31 470751.73
194.75 810.89 -16.179867 -51.273518 22640 71.31 8211143.09 470761.97
199.84 801.17 -16.180892 -51.273429 22640 133.244 8211029.72 470771.62
188.73 794.28 -16.181931 -51.273352 22640 177.385 8210914.82 470780.09
169.62 793.54 -16.182983 -51.273324 22640 188.661 8210798.37 470783.22
151.79 795.79 -16.184039 -51.273315 22640 163.124 8210681.6 470784.26
118.87 799.88 -16.185089 -51.273324 22640 96.152 8210565.45 470783.53
87.78 804.07 -16.186133 -51.273349 22640 -0.935 8210449.92 470781.01
113.84 809.04 -16.187172 -51.273374 22640 -79.418 8210334.99 470778.49
145.08 809.69 -16.188214 -51.27341 22640 -96.312 8210219.76 470774.78
157.74 802.89 -16.189261 -51.273432 22640 -103.326 8210103.92 470772.56
160.5 792.09 -16.190319 -51.273438 22640 -117.421 8209986.85 470772.12
172.6 781.23 -16.1914 -51.273424 22640 -111.276 8209867.32 470773.77
180.67 772.88 -16.192494 -51.273396 22640 -64.267 8209746.26 470776.9
185.69 764.89 -16.1936 -51.273354 22640 -9.366 8209623.97 470781.51
186.68 756.62 -16.194714 -51.273296 22640 32.322 8209500.77 470787.91
184.7 752.39 -16.195839 -51.273218 22640 49.943 8209376.33 470796.39
178.62 750.26 -16.196964 -51.273135 22640 45.81 8209251.9 470805.47
166.58 746.58 -16.198094 -51.273057 22640 20.178 8209126.85 470813.95
160.5 745.17 -16.199228 -51.273004 22640 -12.833 8209001.49 470819.75
157.59 749.52 -16.200356 -51.272993 22640 -16.863 8208876.74 470821.11
157.58 756.69 -16.201472 -51.273007 22640 6.889 8208753.22 470819.79
181.73 763.93 -16.202575 -51.273046 22640 34.166 8208631.23 470815.79
206.85 766.79 -16.203672 -51.273096 22640 52.023 8208509.85 470810.61
215.91 761.39 -16.204772 -51.273154 22640 62.464 8208388.16 470804.54
212.94 752.95 -16.205883 -51.273215 22640 66.023 8208265.24 470798.17
214.92 743.86 -16.207008 -51.273277 22640 62.073 8208140.79 470791.81
212.94 734.99 -16.208142 -51.273338 22640 52.195 8208015.42 470785.44
204.87 724.9 -16.209289 -51.273371 22640 38.944 8207888.51 470782.05
196.8 714.16 -16.210447 -51.273385 22640 27.108 8207760.37 470780.73
191.78 703.83 -16.211619 -51.273374 22640 17.864 8207630.71 470782.09
188.73 694.81 -16.212803 -51.273354 22640 12.076 8207499.81 470784.35
186.75 687.39 -16.213994 -51.273332 22640 8.897 8207368.0 470786.9
180.67 680.99 -16.215192 -51.273304 22640 -1.218 8207235.57 470790.04
180.67 675.54 -16.216397 -51.273282 22640 -11.908 8207102.21 470792.6
178.62 670.27 -16.217608 -51.273274 22640 -15.34 8206968.25 470793.67
177.63 665.25 -16.218822 -51.273282 22640 -17.226 8206833.97 470792.95
174.58 659.34 -16.220042 -51.273296 22640 -13.066 8206699.07 470791.65
175.64 652.5 -16.221264 -51.273318 22640 -3.403 8206563.87 470789.46
172.6 646.56 -16.222492 -51.273346 22640 5.975 8206428.05 470786.67
151.64 641.89 -16.223722 -51.273374 22640 10.161 8206291.93 470783.88
137.16 636.1 -16.224958 -51.273407 22640 11.942 8206155.19 470780.5
125.58 629.32 -16.226194 -51.273438 22640 12.701 8206018.45 470777.42
114.0 622.38 -16.227433 -51.273457 22640 8.584 8205881.4 470775.52
103.17 615.44 -16.228678 -51.273457 22640 -0.709 8205743.74 470775.71
92.66 610.2 -16.229922 -51.273443 22640 -6.901 8205606.09 470777.38
89.76 610.3 -16.231164 -51.273429 22640 -6.312 8205468.74 470779.04
91.44 613.0 -16.232394 -51.273424 22640 1.705 8205332.62 470779.82
98.61 617.17 -16.233614 -51.273426 22640 5.471 8205197.73 470779.7
112.47 620.11 -16.234828 -51.273429 22640 5.856 8205063.45 470779.59
125.58 619.11 -16.236039 -51.273429 22640 -1.261 8204929.48 470779.76
121.62 614.4 -16.237247 -51.273421 22640 -6.907 8204795.82 470780.83
116.13 608.25 -16.238461 -51.27341 22640 -10.985 8204661.54 470782.2
110.64 604.31 -16.239678 -51.273404 22640 -18.327 8204526.96 470782.97
118.5 613.81 -16.239 -51.268493 22650 22.238 8204602.62 471307.7
121.83 607.67 -16.2377 -51.26851 22650 23.122 8204746.43 471305.73
118.33 602.77 -16.236394 -51.268521 22650 29.423 8204890.84 471304.35
114.79 603.37 -16.235091 -51.268513 22650 36.61 8205034.95 471305.05
117.77 610.09 -16.2338 -51.268499 22650 39.618 8205177.84 471306.35
129.97 622.61 -16.23253 -51.268477 22650 36.454 8205318.26 471308.54
147.21 640.07 -16.231291 -51.268452 22650 28.204 8205455.31 471311.03
159.9 656.91 -16.23008 -51.268421 22650 17.23 8205589.28 471314.12
181.46 671.51 -16.228889 -51.268388 22650 8.056 8205721.11 471317.51
198.39 685.04 -16.227714 -51.268349 22650 4.466 8205851.09 471321.49
208.9 697.14 -16.226558 -51.268315 22650 6.009 8205978.92 471324.89
223.98 708.55 -16.225416 -51.268302 22650 9.291 8206105.21 471326.21
236.28 718.77 -16.224289 -51.268296 22650 11.735 8206229.96 471326.64
246.72 728.02 -16.223172 -51.268296 22650 11.983 8206353.48 471326.48
254.39 736.2 -16.222064 -51.268302 22650 11.13 8206476.09 471325.72
262.13 743.55 -16.220967 -51.268315 22650 11.104 8206597.46 471324.08
262.53 750.56 -16.219875 -51.268338 22650 11.125 8206718.21 471321.54
256.44 757.81 -16.218794 -51.268365 22650 9.677 8206837.73 471318.42
255.65 765.37 -16.217719 -51.268402 22650 7.972 8206956.64 471314.4
258.69 773.72 -16.216655 -51.268432 22650 8.195 8207074.32 471310.98
262.06 781.56 -16.215597 -51.268465 22650 11.749 8207191.39 471307.27
265.3 788.93 -16.21455 -51.268493 22650 19.397 8207307.23 471304.15
264.91 796.76 -16.213511 -51.268499 22650 30.475 8207422.14 471303.4
264.71 804.53 -16.212483 -51.268485 22650 40.7 8207535.84 471304.74
262.92 811.35 -16.211461 -51.268457 22650 48.218 8207648.92 471307.56
255.65 816.95 -16.210447 -51.268418 22650 54.791 8207761.08 471311.57
244.74 821.65 -16.209436 -51.268377 22650 61.341 8207872.93 471315.88
241.7 825.29 -16.208428 -51.268332 22650 66.123 8207984.47 471320.48
241.1 828.41 -16.207419 -51.26829 22650 65.028 8208096.02 471324.79
239.72 832.44 -16.206417 -51.268243 22650 53.444 8208206.95 471329.69
229.86 838.69 -16.205422 -51.268185 22650 29.945 8208316.96 471335.78
222.19 845.99 -16.204439 -51.268113 22650 1.031 8208425.74 471343.36
211.75 853.55 -16.203467 -51.268032 22650 -25.541 8208533.3 471351.83
199.84 860.43 -16.2025 -51.267952 22650 -41.543 8208640.24 471360.3
184.7 866.07 -16.201539 -51.267882 22650 -43.905 8208746.57 471367.58
173.79 870.61 -16.200578 -51.267827 22650 -30.959 8208852.89 471373.38
176.63 873.77 -16.199614 -51.267791 22650 -3.775 8208959.52 471377.1
191.71 878.15 -16.198653 -51.267771 22650 17.368 8209065.84 471379.04
201.63 883.79 -16.197703 -51.267763 22650 31.295 8209170.92 471379.79
217.56 890.17 -16.196753 -51.267768 22650 51.544 8209276.01 471379.06
243.15 895.48 -16.195808 -51.267788 22650 80.693 8209380.48 471376.85
277.6 898.84 -16.194867 -51.267816 22650 102.756 8209484.64 471373.74
292.28 900.42 -16.193922 -51.267854 22650 101.997 8209589.11 471369.45
296.98 899.9 -16.192972 -51.26791 22650 79.579 8209694.19 471363.37
285.01 897.84 -16.192019 -51.267979 22650 40.447 8209799.57 471355.81
262.66 895.2 -16.191053 -51.268052 22650 -4.036 8209906.49 471347.95
229.86 892.81 -16.190083 -51.268121 22650 -37.8 8210013.72 471340.39
194.75 890.77 -16.189103 -51.268182 22650 -59.294 8210122.17 471333.72
155.94 887.66 -16.188117 -51.268241 22650 -78.489 8210231.25 471327.34
131.95 881.17 -16.187117 -51.268299 22650 -83.464 8210341.86 471320.96
116.25 872.64 -16.186103 -51.268371 22650 -67.369 8210454.0 471313.09
110.0 863.98 -16.185067 -51.268446 22650 -28.084 8210568.6 471304.92
146.67 859.26 -16.184022 -51.268516 22650 30.169 8210684.12 471297.35
123.69 857.75 -16.182967 -51.268574 22650 45.428 8210800.88 471290.96
129.3 857.9 -16.181911 -51.26861 22650 98.535 8210917.64 471286.95
148.04 860.35 -16.180858 -51.268627 22650 117.178 8211034.09 471285.01
127.28 864.28 -16.179811 -51.268627 22650 84.331 8211149.93 471284.86
115.79 869.46 -16.178772 -51.268613 22650 62.562 8211264.85 471286.2
103.15 874.01 -16.177742 -51.268577 22650 54.114 8211378.85 471289.91
98.73 876.31 -16.176714 -51.268529 22650 89.16 8211492.55 471294.81
126.07 878.98 -16.175689 -51.268463 22650 132.705 8211605.94 471301.79
138.75 879.13 -16.174661 -51.268388 22650 139.833 8211719.64 471309.65
144.96 874.07 -16.173628 -51.268296 22650 133.131 8211833.96 471319.3
157.49 866.54 -16.172581 -51.268191 22650 122.973 8211949.81 471330.44
182.65 858.05 -16.171517 -51.268088 22650 110.665 8212067.51 471341.27
196.34 849.39 -16.170431 -51.268004 22650 100.997 8212187.67 471350.02
189.53 840.57 -16.169322 -51.267954 22650 95.867 8212310.27 471355.21
156.79 832.03 -16.168197 -51.267941 22650 90.382 8212434.72 471356.53
